train_number,route_length_km,season,day_of_week,scheduled_time_mins,delay_minutes
TR101,151,3,1,577,12.01
TR101,964,1,0,311,73.56
TR102,576,1,4,527,43.86
TR104,551,4,4,689,4.76
TR101,426,4,2,689,42.37
TR103,309,1,3,318,66.66
TR103,804,3,6,208,37.84
TR104,261,3,6,1407,0
TR103,493,1,0,586,50.94
TR102,306,4,2,1048,0
TR103,433,3,2,549,10.43
TR101,450,2,1,1066,2.04
TR104,652,2,5,784,46.89
TR102,165,3,3,668,0
TR101,532,3,1,1142,0.23
TR104,392,3,1,625,39.89
TR103,977,4,2,569,57.03
TR104,286,1,6,344,34.16
TR102,427,4,4,250,6.22
TR104,1183,3,4,143,72.53
TR101,1199,3,6,1432,53.24
TR102,1029,1,5,659,82.0
TR102,1139,1,6,1400,70.53
TR102,413,3,6,450,41.08
TR101,763,4,0,349,65.95
TR103,590,1,1,1281,36.22
TR101,275,4,6,261,32.08
TR102,362,4,4,458,15.55
TR103,1180,4,1,1224,59.76
TR103,917,3,3,1179,22.91
TR104,347,2,1,251,6.85
TR102,551,1,0,1412,64.55
TR101,568,1,0,796,58.38
TR104,538,2,5,1289,31.66
TR104,597,4,6,953,32.33
TR104,825,4,3,1076,47.55
TR101,301,1,3,814,37.31
TR102,489,4,1,984,17.6
TR102,670,4,1,274,5.57
TR101,203,1,0,604,40.58
TR102,932,4,3,557,67.95
TR102,876,1,3,663,39.48
TR104,684,4,5,1258,25.09
TR102,707,2,0,1306,20.62
TR101,742,1,0,1316,23.8
TR102,216,1,6,500,35.69
TR101,239,2,3,365,30.13
TR101,267,4,5,1315,6.36
TR103,634,2,5,763,32.77
TR103,1036,3,6,268,66.82
TR101,1038,1,0,1221,74.6
TR103,240,2,2,703,23.46
TR102,997,3,4,1203,77.47
TR103,312,2,2,356,16.96
TR101,418,3,2,1358,24.27
TR103,1135,4,2,224,70.08
TR101,967,3,0,127,44.37
TR103,430,4,4,995,28.37
TR101,329,1,5,425,9.15
TR102,980,2,0,751,40.96
TR103,181,3,1,631,2.06
TR104,416,2,6,452,8.65
TR102,944,1,1,800,70.32
TR102,646,2,6,341,17.17
TR104,179,4,1,528,15.72
TR103,566,2,0,515,13.08
TR104,772,3,6,262,50.47
TR104,1198,3,0,356,57.39
TR103,465,3,0,342,11.9
TR103,993,1,3,1300,61.77
TR102,621,1,5,1013,85.24
TR102,845,4,0,796,42.61
TR103,355,3,4,753,11.1
TR103,360,2,3,896,6.45
TR102,716,4,4,120,32.38
TR103,1052,4,3,557,62.32
TR104,447,1,2,1175,31.61
TR101,581,3,1,527,11.18
TR102,150,1,1,1093,7.86
